# drive_cycle recorded 2026-08-15 18:59:42
# vehicle_id=100087
# dt=0.05
# rows=273
# duration_s=16.6909999999999
# status=arrived
# route_node_count=16
# route_distance_m=149.6249429502617
# grade_source=placeholder_zero
# traffic_speed_factor=0.9374466875177707
time_s,v_mps,grade_deg
0.000000,0.000000,0.000000
0.066000,0.118800,0.000000
0.116000,0.208800,0.000000
0.180000,0.324000,0.000000
0.245000,0.441000,0.000000
0.309000,0.556200,0.000000
0.373000,0.671400,0.000000
0.437000,0.786600,0.000000
0.503000,0.905400,0.000000
0.567000,1.020600,0.000000
0.617000,1.110600,0.000000
0.683000,1.229400,0.000000
0.749000,1.348200,0.000000
0.814000,1.465200,0.000000
0.880000,1.584000,0.000000
0.945000,1.701000,0.000000
0.995000,1.791000,0.000000
1.059000,1.906200,0.000000
1.109000,1.996200,0.000000
1.173000,2.111400,0.000000
1.239000,2.230200,0.000000
1.305000,2.349000,0.000000
1.369000,2.464200,0.000000
1.419000,2.554200,0.000000
1.483000,2.669400,0.000000
1.549000,2.788200,0.000000
1.599000,2.878200,0.000000
1.665000,2.997000,0.000000
1.730000,3.114000,0.000000
1.794000,3.229200,0.000000
1.844000,3.319200,0.000000
1.909000,3.436200,0.000000
1.973000,3.551400,0.000000
2.037000,3.666600,0.000000
2.102000,3.783600,0.000000
2.166000,3.898800,0.000000
2.230000,4.014000,0.000000
2.294000,4.129200,0.000000
2.360000,4.248000,0.000000
2.426000,4.366800,0.000000
2.490000,4.482000,0.000000
2.554000,4.597200,0.000000
2.618000,4.712400,0.000000
2.683000,4.829400,0.000000
2.749000,4.948200,0.000000
2.799000,5.038200,0.000000
2.849000,5.128200,0.000000
2.914000,5.245200,0.000000
2.965000,5.337000,0.000000
3.029000,5.452200,0.000000
3.094000,5.569200,0.000000
3.158000,5.684400,0.000000
3.208000,5.774400,0.000000
3.258000,5.864400,0.000000
3.308000,5.954400,0.000000
3.373000,6.071400,0.000000
3.437000,6.186600,0.000000
3.487000,6.276600,0.000000
3.553000,6.395400,0.000000
3.604000,6.487200,0.000000
3.669000,6.604200,0.000000
3.734000,6.721200,0.000000
3.799000,6.838200,0.000000
3.849000,6.928200,0.000000
3.899000,7.018200,0.000000
3.963000,7.133400,0.000000
4.029000,7.252200,0.000000
4.093000,7.367400,0.000000
4.158000,7.484400,0.000000
4.208000,7.574400,0.000000
4.272000,7.689600,0.000000
4.337000,7.806600,0.000000
4.402000,7.923600,0.000000
4.467000,8.040600,0.000000
4.531000,8.155800,0.000000
4.596000,8.272800,0.000000
4.660000,8.388000,0.000000
4.725000,8.505000,0.000000
4.789000,8.620200,0.000000
4.854000,8.737200,0.000000
4.919000,8.854200,0.000000
4.984000,8.971200,0.000000
5.048000,9.086400,0.000000
5.112000,9.201600,0.000000
5.162000,9.291600,0.000000
5.212000,9.381600,0.000000
5.277000,9.498600,0.000000
5.342000,9.615600,0.000000
5.408000,9.734400,0.000000
5.472000,9.849600,0.000000
5.523000,9.941400,0.000000
5.588000,10.058400,0.000000
5.638000,10.148400,0.000000
5.689000,10.240200,0.000000
5.754000,10.357200,0.000000
5.804000,10.447200,0.000000
5.854000,10.537200,0.000000
5.919000,10.654200,0.000000
5.983000,10.769400,0.000000
6.048000,10.886400,0.000000
6.112000,11.001600,0.000000
6.177000,11.118600,0.000000
6.227000,11.208600,0.000000
6.292000,11.325600,0.000000
6.358000,11.444400,0.000000
6.408000,11.534400,0.000000
6.474000,11.653200,0.000000
6.540000,11.772000,0.000000
6.605000,11.889000,0.000000
6.655000,11.979000,0.000000
6.720000,12.069563,0.000000
6.785000,12.129858,0.000000
6.850000,12.186328,0.000000
6.900000,12.227326,0.000000
6.965000,12.277613,0.000000
7.029000,12.324004,0.000000
7.093000,12.367496,0.000000
7.158000,12.408892,0.000000
7.224000,12.448244,0.000000
7.289000,12.484518,0.000000
7.340000,12.511371,0.000000
7.406000,12.544125,0.000000
7.457000,12.567989,0.000000
7.507000,12.590220,0.000000
7.571000,12.617079,0.000000
7.621000,12.636896,0.000000
7.672000,12.656109,0.000000
7.722000,12.674006,0.000000
7.772000,12.691024,0.000000
7.837000,12.711898,0.000000
7.903000,12.731741,0.000000
7.968000,12.750032,0.000000
8.018000,12.763311,0.000000
8.068000,12.731968,0.000000
8.133000,12.569468,0.000000
8.183000,12.444468,0.000000
8.248000,12.281968,0.000000
8.313000,12.119468,0.000000
8.378000,11.956968,0.000000
8.443000,11.794468,0.000000
8.493000,11.669468,0.000000
8.558000,11.506968,0.000000
8.624000,11.368005,0.000000
8.688000,11.308528,0.000000
8.753000,11.251917,0.000000
8.818000,11.198897,0.000000
8.882000,11.149986,0.000000
8.947000,11.103432,0.000000
9.012000,11.059830,0.000000
9.078000,11.018382,0.000000
9.143000,10.980176,0.000000
9.208000,10.944393,0.000000
9.274000,10.910378,0.000000
9.338000,10.879493,0.000000
9.403000,10.850097,0.000000
9.469000,10.822153,0.000000
9.534000,10.796394,0.000000
9.599000,10.772269,0.000000
9.663000,10.750014,0.000000
9.728000,10.728831,0.000000
9.778000,10.713452,0.000000
9.843000,10.694589,0.000000
9.908000,10.676922,0.000000
9.973000,10.660375,0.000000
10.038000,10.644879,0.000000
10.088000,10.633628,0.000000
10.152000,10.620035,0.000000
10.217000,10.607097,0.000000
10.281000,10.595162,0.000000
10.347000,10.583631,0.000000
10.412000,10.573003,0.000000
10.477000,10.563048,0.000000
10.541000,10.553865,0.000000
10.607000,10.544994,0.000000
10.672000,10.536816,0.000000
10.722000,10.530879,0.000000
10.772000,10.525234,0.000000
10.823000,10.519761,0.000000
10.887000,10.513282,0.000000
10.951000,10.507209,0.000000
11.016000,10.501428,0.000000
11.081000,10.496014,0.000000
11.145000,10.491019,0.000000
11.210000,10.486265,0.000000
11.260000,10.482814,0.000000
11.326000,10.478517,0.000000
11.377000,10.475386,0.000000
11.442000,10.471624,0.000000
11.508000,10.468047,0.000000
11.572000,10.464800,0.000000
11.638000,10.461663,0.000000
11.703000,10.458771,0.000000
11.753000,10.456671,0.000000
11.818000,10.454096,0.000000
11.884000,10.451648,0.000000
11.949000,10.449392,0.000000
11.999000,10.447753,0.000000
12.064000,10.445744,0.000000
12.114000,10.444285,0.000000
12.180000,10.442469,0.000000
12.245000,10.440794,0.000000
12.310000,10.439226,0.000000
12.360000,10.438088,0.000000
12.410000,10.437005,0.000000
12.475000,10.435678,0.000000
12.539000,10.434453,0.000000
12.589000,10.433549,0.000000
12.654000,10.432441,0.000000
12.718000,10.431418,0.000000
12.783000,10.430445,0.000000
12.848000,10.429533,0.000000
12.913000,10.428679,0.000000
12.963000,10.428060,0.000000
13.027000,10.427311,0.000000
13.091000,10.426609,0.000000
13.156000,10.425941,0.000000
13.222000,10.425305,0.000000
13.287000,10.424720,0.000000
13.352000,10.424171,0.000000
13.402000,10.423773,0.000000
13.468000,10.423277,0.000000
13.533000,10.422821,0.000000
13.597000,10.422399,0.000000
13.661000,10.422004,0.000000
13.726000,10.421628,0.000000
13.791000,10.421275,0.000000
13.855000,10.420951,0.000000
13.921000,10.420637,0.000000
13.986000,10.420347,0.000000
14.051000,10.420076,0.000000
14.115000,10.419826,0.000000
14.179000,10.419592,0.000000
14.244000,10.419369,0.000000
14.309000,10.419160,0.000000
14.373000,10.418967,0.000000
14.438000,10.418783,0.000000
14.502000,10.418614,0.000000
14.567000,10.418453,0.000000
14.631000,10.418304,0.000000
14.681000,10.418195,0.000000
14.733000,10.418086,0.000000
14.783000,10.417987,0.000000
14.833000,10.417893,0.000000
14.898000,10.417778,0.000000
14.948000,10.417694,0.000000
15.013000,10.417591,0.000000
15.077000,10.417497,0.000000
15.142000,10.417406,0.000000
15.206000,10.417323,0.000000
15.271000,10.417244,0.000000
15.321000,10.417186,0.000000
15.386000,10.417116,0.000000
15.450000,10.417051,0.000000
15.516000,10.416988,0.000000
15.581000,10.416930,0.000000
15.646000,10.416876,0.000000
15.711000,10.416825,0.000000
15.761000,10.416788,0.000000
15.826000,10.416743,0.000000
15.891000,10.416700,0.000000
15.955000,10.416661,0.000000
16.020000,10.416624,0.000000
16.085000,10.416589,0.000000
16.150000,10.416556,0.000000
16.200000,10.416533,0.000000
16.265000,10.416504,0.000000
16.331000,10.416476,0.000000
16.397000,10.416450,0.000000
16.462000,10.416426,0.000000
16.512000,10.416409,0.000000
16.576000,10.416388,0.000000
16.641000,10.416368,0.000000
16.691000,10.416354,0.000000
