# source=UNECE WLTP-DHC-12-07e official workbook
# source_workbook=C:\Projects\SiCTransistorModelDriveCycles\sim\src\drive_cycles\wltp_data\WLTP-DHC-12-07e.xls
# cycle=WLTC Class 3
# test_mode=prescribed_speed_flat_grade
time_s,v_mps,grade_deg
0.0,0.000000000,0.0
1.0,0.000000000,0.0
2.0,0.000000000,0.0
3.0,0.000000000,0.0
4.0,0.000000000,0.0
5.0,0.000000000,0.0
6.0,0.000000000,0.0
7.0,0.000000000,0.0
8.0,0.000000000,0.0
9.0,0.000000000,0.0
10.0,0.000000000,0.0
11.0,0.000000000,0.0
12.0,0.055555556,0.0
13.0,0.472222222,0.0
14.0,1.500000000,0.0
15.0,2.750000000,0.0
16.0,3.638888889,0.0
17.0,4.694444444,0.0
18.0,6.027777778,0.0
19.0,7.222222222,0.0
20.0,7.638888889,0.0
21.0,7.805555556,0.0
22.0,7.861111111,0.0
23.0,8.000000000,0.0
24.0,8.083333333,0.0
25.0,8.555555556,0.0
26.0,8.861111111,0.0
27.0,9.472222222,0.0
28.0,10.166666667,0.0
29.0,10.861111111,0.0
30.0,11.472222222,0.0
31.0,11.805555556,0.0
32.0,12.027777778,0.0
33.0,12.194444444,0.0
34.0,12.333333333,0.0
35.0,12.361111111,0.0
36.0,12.277777778,0.0
37.0,11.861111111,0.0
38.0,11.083333333,0.0
39.0,10.277777778,0.0
40.0,9.611111111,0.0
41.0,8.972222222,0.0
42.0,8.055555556,0.0
43.0,6.972222222,0.0
44.0,6.166666667,0.0
45.0,5.805555556,0.0
46.0,5.666666667,0.0
47.0,5.416666667,0.0
48.0,5.111111111,0.0
49.0,4.944444444,0.0
50.0,4.944444444,0.0
51.0,4.833333333,0.0
52.0,4.361111111,0.0
53.0,3.638888889,0.0
54.0,3.361111111,0.0
55.0,3.333333333,0.0
56.0,3.333333333,0.0
57.0,3.333333333,0.0
58.0,3.416666667,0.0
59.0,3.500000000,0.0
60.0,4.083333333,0.0
61.0,4.250000000,0.0
62.0,4.416666667,0.0
63.0,4.500000000,0.0
64.0,4.750000000,0.0
65.0,4.944444444,0.0
66.0,5.027777778,0.0
67.0,5.111111111,0.0
68.0,5.638888889,0.0
69.0,6.444444444,0.0
70.0,7.361111111,0.0
71.0,8.277777778,0.0
72.0,9.055555556,0.0
73.0,9.555555556,0.0
74.0,9.861111111,0.0
75.0,10.111111111,0.0
76.0,10.388888889,0.0
77.0,10.694444444,0.0
78.0,10.916666667,0.0
79.0,10.972222222,0.0
80.0,10.833333333,0.0
81.0,10.694444444,0.0
82.0,10.361111111,0.0
83.0,10.277777778,0.0
84.0,10.194444444,0.0
85.0,9.972222222,0.0
86.0,9.805555556,0.0
87.0,9.611111111,0.0
88.0,9.500000000,0.0
89.0,8.861111111,0.0
90.0,7.583333333,0.0
91.0,6.111111111,0.0
92.0,4.722222222,0.0
93.0,3.944444444,0.0
94.0,3.333333333,0.0
95.0,2.527777778,0.0
96.0,1.611111111,0.0
97.0,1.000000000,0.0
98.0,0.611111111,0.0
99.0,0.000000000,0.0
100.0,0.000000000,0.0
101.0,0.000000000,0.0
102.0,0.000000000,0.0
103.0,0.000000000,0.0
104.0,0.000000000,0.0
105.0,0.000000000,0.0
106.0,0.000000000,0.0
107.0,0.000000000,0.0
108.0,0.000000000,0.0
109.0,0.000000000,0.0
110.0,0.000000000,0.0
111.0,0.000000000,0.0
112.0,0.000000000,0.0
113.0,0.000000000,0.0
114.0,0.000000000,0.0
115.0,0.000000000,0.0
116.0,0.000000000,0.0
117.0,0.000000000,0.0
118.0,0.000000000,0.0
119.0,0.000000000,0.0
120.0,0.000000000,0.0
121.0,0.000000000,0.0
122.0,0.000000000,0.0
123.0,0.000000000,0.0
124.0,0.000000000,0.0
125.0,0.000000000,0.0
126.0,0.000000000,0.0
127.0,0.000000000,0.0
128.0,0.000000000,0.0
129.0,0.000000000,0.0
130.0,0.000000000,0.0
131.0,0.000000000,0.0
132.0,0.000000000,0.0
133.0,0.000000000,0.0
134.0,0.000000000,0.0
135.0,0.000000000,0.0
136.0,0.000000000,0.0
137.0,0.000000000,0.0
138.0,0.055555556,0.0
139.0,0.527777778,0.0
140.0,1.694444444,0.0
141.0,3.250000000,0.0
142.0,4.555555556,0.0
143.0,5.250000000,0.0
144.0,5.527777778,0.0
145.0,5.777777778,0.0
146.0,6.333333333,0.0
147.0,7.055555556,0.0
148.0,7.694444444,0.0
149.0,8.111111111,0.0
150.0,8.277777778,0.0
151.0,8.166666667,0.0
152.0,7.555555556,0.0
153.0,6.277777778,0.0
154.0,4.805555556,0.0
155.0,3.694444444,0.0
156.0,3.333333333,0.0
157.0,3.500000000,0.0
158.0,3.916666667,0.0
159.0,4.777777778,0.0
160.0,5.583333333,0.0
161.0,6.500000000,0.0
162.0,7.083333333,0.0
163.0,7.666666667,0.0
164.0,8.194444444,0.0
165.0,8.638888889,0.0
166.0,8.916666667,0.0
167.0,9.222222222,0.0
168.0,9.777777778,0.0
169.0,10.333333333,0.0
170.0,10.555555556,0.0
171.0,10.388888889,0.0
172.0,9.750000000,0.0
173.0,8.611111111,0.0
174.0,7.527777778,0.0
175.0,7.027777778,0.0
176.0,6.972222222,0.0
177.0,7.194444444,0.0
