# source_cycle=C:\Projects\SiCTransistorModelDriveCycles\sim\research_exports\wltc\wltc_class3_official.csv
# vehicle_config=tesla_model3_premium_long_range_rwd_de_wltp
# peak_phase_current_a=186.280351680
# peak_total_loss_w=434.887844423
# peak_unserved_power_w=0.000000000
# loss_energy_wh=31.110648371
time_s,dc_power_requested_w,dc_power_served_w,unserved_power_w,phase_current_rms_a,phase_current_peak_a,device_current_rms_a,device_current_peak_a,junction_temperature_c,rds_on_device_ohm,conduction_loss_w,switching_loss_w,total_loss_w
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,25.000000,0.002600000,0.000000,0.000000,0.000000
12.000000,37.584727,37.584727,0.000000,0.098690,0.139569,0.098690,0.139569,25.000000,0.002600000,0.000076,0.224441,0.224517
13.000000,784.222483,784.222483,0.000000,2.059222,2.912179,2.059222,2.912179,25.000000,0.002600000,0.033075,4.683059,4.716134
14.000000,3757.393982,3757.393982,0.000000,9.866214,13.952934,9.866214,13.952934,25.000000,0.002600000,0.759269,22.437636,23.196905
15.000000,6507.019616,6507.019616,0.000000,17.086217,24.163560,17.086217,24.163560,25.000000,0.002600000,2.277123,38.857288,41.134410
16.000000,7901.269994,7901.269994,0.000000,20.747258,29.341054,20.747258,29.341054,25.000000,0.002600000,3.357500,47.183187,50.540687
17.000000,12319.511108,12319.511108,0.000000,32.348734,45.748018,32.348734,45.748018,25.000000,0.002600000,8.162236,73.567134,81.729371
18.000000,16695.912607,16695.912607,0.000000,43.840346,61.999612,43.840346,61.999612,25.000000,0.002600000,14.991412,99.701233,114.692645
19.000000,13342.752128,13342.752128,0.000000,35.035573,49.547783,35.035573,49.547783,25.000000,0.002600000,9.574433,79.677516,89.251948
20.000000,6181.925102,6181.925102,0.000000,16.232580,22.956335,16.232580,22.956335,25.000000,0.002600000,2.055274,36.915955,38.971229
21.000000,3470.662005,3470.662005,0.000000,9.113310,12.888166,9.113310,12.888166,25.000000,0.002600000,0.647809,20.725389,21.373198
22.000000,3276.708696,3276.708696,0.000000,8.604025,12.167928,8.604025,12.167928,25.000000,0.002600000,0.577428,19.567178,20.144606
23.000000,3565.663353,3565.663353,0.000000,9.362766,13.240950,9.362766,13.240950,25.000000,0.002600000,0.683759,21.292698,21.976457
24.000000,6333.946922,6333.946922,0.000000,16.631761,23.520862,16.631761,23.520862,25.000000,0.002600000,2.157601,37.823768,39.981368
25.000000,8651.802681,8651.802681,0.000000,22.718017,32.128127,22.718017,32.128127,25.000000,0.002600000,4.025645,51.665064,55.690709
26.000000,10222.934072,10222.934072,0.000000,26.843514,37.962462,26.843514,37.962462,25.000000,0.002600000,5.620479,61.047225,66.667704
27.000000,14693.505480,14693.505480,0.000000,38.582399,54.563752,38.582399,54.563752,25.000000,0.002600000,11.611092,87.743668,99.354760
28.000000,16676.500286,16676.500286,0.000000,43.789373,61.927525,43.789373,61.927525,25.000000,0.002600000,14.956572,99.585310,114.541882
29.000000,16954.563081,16954.563081,0.000000,44.519514,62.960100,44.519514,62.960100,25.000000,0.002600000,15.459499,101.245789,116.705288
30.000000,13769.556157,13769.556157,0.000000,36.156281,51.132703,36.156281,51.132703,25.000000,0.002600000,10.196758,82.226217,92.422974
31.000000,9554.308963,9554.308963,0.000000,25.087830,35.479549,25.087830,35.479549,25.000000,0.002600000,4.909314,57.054466,61.963780
32.000000,7727.160253,7727.160253,-0.000000,20.290079,28.694504,20.290079,28.694504,25.000000,0.002600000,3.211161,46.143474,49.354635
33.000000,6822.716914,6822.716914,0.000000,17.915179,25.335890,17.915179,25.335890,25.000000,0.002600000,2.503438,40.742504,43.245943
34.000000,5181.125153,5181.125153,0.000000,13.604666,19.239904,13.604666,19.239904,25.000000,0.002600000,1.443678,30.939583,32.383261
35.000000,2415.253836,2415.253836,0.000000,6.342005,8.968950,6.342005,8.968950,25.000000,0.002600000,0.313724,14.422918,14.736642
36.000000,-1930.816824,-1930.816824,0.000000,5.069964,7.170012,5.069964,7.170012,25.000000,0.002600000,0.200495,11.530057,11.730552
37.000000,-7028.689084,-7028.689084,0.000000,18.456024,26.100759,18.456024,26.100759,25.000000,0.002600000,2.656874,41.972487,44.629360
38.000000,-9298.673508,-9298.673508,0.000000,24.416579,34.530257,24.416579,34.530257,25.000000,0.002600000,4.650121,55.527915,60.178035
39.000000,-7948.380526,-7948.380526,-0.000000,20.870962,29.515997,20.870962,29.515997,25.000000,0.002600000,3.397657,47.464512,50.862169
40.000000,-6460.924593,-6460.924593,0.000000,16.965180,23.992388,16.965180,23.992388,25.000000,0.002600000,2.244975,38.582027,40.827002
41.000000,-7453.383881,-7453.383881,0.000000,19.571193,27.677847,19.571193,27.677847,25.000000,0.002600000,2.987646,44.508592,47.496238
42.000000,-8952.038332,-8952.038332,0.000000,23.506379,33.243041,23.506379,33.243041,25.000000,0.002600000,4.309889,53.457950,57.767839
43.000000,-7289.226826,-7289.226826,0.000000,19.140147,27.068256,19.140147,27.068256,25.000000,0.002600000,2.857493,43.528312,46.385805
44.000000,-3682.971732,-3682.971732,0.000000,9.670795,13.676570,9.670795,13.676570,25.000000,0.002600000,0.729489,21.993217,22.722706
45.000000,-1058.488023,-1058.488023,0.000000,2.779392,3.930653,2.779392,3.930653,25.000000,0.002600000,0.060255,6.320862,6.381117
46.000000,-642.359932,-642.359932,0.000000,1.686717,2.385378,1.686717,2.385378,25.000000,0.002600000,0.022191,3.835914,3.858105
