# source_cycle=C:\Projects\SiCTransistorModelDriveCycles\sim\research_exports\wltc\wltc_class3_official.csv
# temperature_sample_count=1801
# turning_point_count=415
# minimum_tj_c=60.000000000
# maximum_tj_c=71.169736846
# equivalent_full_cycles=207.000000000
# maximum_delta_tj_c=11.169736846
# weighted_mean_delta_tj_c=1.541530441
# maximum_cycle_duration_s=362.000000000
# weighted_mean_cycle_duration_s=12.466183575
cycle_index,delta_tj_c,mean_tj_c,count,minimum_tj_c,maximum_tj_c,start_time_s,end_time_s,duration_s
1,2.296857687,61.637547691,1.0,60.489118848,62.785976535,18.000000000,22.000000000,4.000000000
2,0.396799135,61.195899326,1.0,60.997499758,61.394298893,40.000000000,42.000000000,2.000000000
3,1.159392876,60.866360840,1.0,60.286664403,61.446057278,36.000000000,38.000000000,2.000000000
4,0.072014368,60.132896283,1.0,60.096889099,60.168903467,46.000000000,47.000000000,1.000000000
5,0.348433496,60.214450118,1.0,60.040233370,60.388666866,52.000000000,54.000000000,2.000000000
6,0.158646013,60.377746070,1.0,60.298423064,60.457069076,62.000000000,64.000000000,2.000000000
7,0.301581188,60.429877485,1.0,60.279086891,60.580668079,60.000000000,66.000000000,6.000000000
8,0.130609066,61.271734491,1.0,61.206429958,61.337039024,75.000000000,76.000000000,1.000000000
9,0.071383764,60.104569021,1.0,60.068877139,60.140260903,84.000000000,85.000000000,1.000000000
10,0.155955960,60.146754562,1.0,60.068776582,60.224732542,81.000000000,87.000000000,6.000000000
11,1.864120709,60.982559918,1.0,60.050499564,61.914620273,80.000000000,90.000000000,10.000000000
12,2.652086379,61.356700157,1.0,60.030656967,62.682743346,49.000000000,71.000000000,22.000000000
13,2.864484142,61.432242071,0.5,60.000000000,62.864484142,11.000000000,29.000000000,18.000000000
14,0.978414893,61.117735014,1.0,60.628527567,61.606942460,142.000000000,144.000000000,2.000000000
15,1.194927716,60.961399755,1.0,60.363935897,61.558863613,150.000000000,153.000000000,3.000000000
16,1.768459199,60.905115757,1.0,60.020886158,61.789345357,147.000000000,156.000000000,9.000000000
17,0.061736104,61.604320725,1.0,61.573452673,61.635188776,162.000000000,163.000000000,1.000000000
18,0.670697771,61.465268655,1.0,61.129919770,61.800617541,161.000000000,166.000000000,5.000000000
19,1.200246192,61.102168931,1.0,60.502045835,61.702292027,170.000000000,173.000000000,3.000000000
20,1.125919466,60.810765995,1.0,60.247806262,61.373725728,175.000000000,178.000000000,3.000000000
21,0.654500711,60.413837934,1.0,60.086587578,60.741088289,182.000000000,185.000000000,3.000000000
22,2.141910643,61.075483614,1.0,60.004528293,62.146438935,168.000000000,193.000000000,25.000000000
23,0.023472136,62.244172925,1.0,62.232436858,62.255908993,207.000000000,208.000000000,1.000000000
24,2.864484142,61.432242071,0.5,60.000000000,62.864484142,29.000000000,137.000000000,108.000000000
25,1.290871186,62.296719361,1.0,61.651283768,62.942154954,210.000000000,213.000000000,3.000000000
26,0.316916049,61.241525424,1.0,61.083067400,61.399983449,223.000000000,226.000000000,3.000000000
27,0.897097138,60.691964466,1.0,60.243415896,61.140513035,232.000000000,234.000000000,2.000000000
28,0.043245896,61.092945837,1.0,61.071322889,61.114568786,242.000000000,243.000000000,1.000000000
29,0.401677388,61.193366859,1.0,60.992528166,61.394205553,244.000000000,246.000000000,2.000000000
30,1.332892729,60.832614547,1.0,60.166168182,61.499060911,237.000000000,240.000000000,3.000000000
31,0.072014397,60.132896264,1.0,60.096889066,60.168903462,250.000000000,251.000000000,1.000000000
32,0.160925236,60.155296912,1.0,60.074834294,60.235759530,256.000000000,257.000000000,1.000000000
33,3.053470343,61.557392139,1.0,60.030656967,63.084127310,217.000000000,253.000000000,36.000000000
34,1.399713337,61.236807545,1.0,60.536950877,61.936664214,278.000000000,281.000000000,3.000000000
35,3.502368282,61.869237432,1.0,60.118053291,63.620421572,264.000000000,272.000000000,8.000000000
36,0.048273174,60.306254524,1.0,60.282117937,60.330391111,292.000000000,293.000000000,1.000000000
37,0.651977476,60.458203439,1.0,60.132214702,60.784192177,294.000000000,298.000000000,4.000000000
38,0.527913882,60.390156603,1.0,60.126199662,60.654113544,301.000000000,305.000000000,4.000000000
39,0.038315164,60.097292613,1.0,60.078135030,60.116450195,308.000000000,309.000000000,1.000000000
40,0.108071312,60.500546864,1.0,60.446511208,60.554582520,314.000000000,316.000000000,2.000000000
41,0.005586886,60.042819169,1.0,60.040025726,60.045612612,323.000000000,324.000000000,1.000000000
42,0.078153041,60.083855997,1.0,60.044779477,60.122932518,326.000000000,327.000000000,1.000000000
43,0.606310078,60.324597921,1.0,60.021442882,60.627752960,319.000000000,322.000000000,3.000000000
44,0.019103330,60.030871698,1.0,60.021320033,60.040423363,331.000000000,333.000000000,2.000000000
45,0.018883985,60.028548055,1.0,60.019106062,60.037990047,334.000000000,335.000000000,1.000000000
46,0.721824012,60.376370552,1.0,60.015458546,60.737282558,310.000000000,329.000000000,19.000000000
47,0.117414131,60.515080419,1.0,60.456373354,60.573787485,346.000000000,347.000000000,1.000000000
48,0.209073338,60.483443791,1.0,60.378907121,60.587980460,344.000000000,348.000000000,4.000000000
49,0.161796691,60.265569035,1.0,60.184670689,60.346467380,353.000000000,356.000000000,3.000000000
50,0.413851814,60.312411319,1.0,60.105485412,60.519337226,358.000000000,360.000000000,2.000000000
51,0.726499827,60.451821684,1.0,60.088571770,60.815071597,371.000000000,373.000000000,2.000000000
52,0.747973116,60.445672683,1.0,60.071686125,60.819659241,363.000000000,369.000000000,6.000000000
53,0.010517119,60.061620177,1.0,60.056361618,60.066878737,379.000000000,381.000000000,2.000000000
54,1.844131540,60.927403907,1.0,60.005338137,61.849469678,336.000000000,341.000000000,5.000000000
55,0.015552528,60.316227834,1.0,60.308451570,60.324004098,405.000000000,406.000000000,1.000000000
56,0.342262947,60.243259680,1.0,60.072128206,60.414391153,403.000000000,409.000000000,6.000000000
57,0.073933773,60.140716653,1.0,60.103749766,60.177683540,419.000000000,420.000000000,1.000000000
58,0.637122565,60.398578106,1.0,60.080016823,60.717139388,416.000000000,421.000000000,5.000000000
59,2.175750909,61.134263071,1.0,60.046387616,62.222138526,398.000000000,401.000000000,3.000000000
60,0.059877810,60.153663470,1.0,60.123724564,60.183602375,430.000000000,431.000000000,1.000000000
61,1.321894680,60.666560904,1.0,60.005613564,61.327508244,433.000000000,438.000000000,5.000000000
62,3.630019512,61.815009756,1.0,60.000000000,63.630019512,391.000000000,427.000000000,36.000000000
63,4.694356714,62.347178357,0.5,60.000000000,64.694356714,137.000000000,288.000000000,151.000000000
64,0.552324503,60.335681041,1.0,60.059518789,60.611843292,519.000000000,525.000000000,6.000000000
65,1.987717249,60.993859318,1.0,60.000000693,61.987717942,516.000000000,532.000000000,16.000000000
66,0.404319459,60.232868496,1.0,60.030708766,60.435028225,543.000000000,546.000000000,3.000000000
67,0.515329579,60.361892089,1.0,60.104227300,60.619556879,560.000000000,563.000000000,3.000000000
68,0.700184099,60.368676688,1.0,60.018584638,60.718768737,554.000000000,565.000000000,11.000000000
69,2.633848314,61.316924157,1.0,60.000000000,62.633848314,511.000000000,539.000000000,28.000000000
70,4.694356714,62.347178357,0.5,60.000000000,64.694356714,288.000000000,600.000000000,312.000000000
71,0.234734602,60.267163660,1.0,60.149796359,60.384530961,620.000000000,622.000000000,2.000000000
72,0.641248806,60.810965130,1.0,60.490340727,61.131589533,625.000000000,628.000000000,3.000000000
73,0.081664564,61.193118301,1.0,61.152286019,61.233950583,645.000000000,647.000000000,2.000000000
74,1.711840427,61.263665530,1.0,60.407745317,62.119585744,640.000000000,643.000000000,3.000000000
75,2.261018700,61.228080113,1.0,60.097570763,62.358589463,634.000000000,650.000000000,16.000000000
76,0.790853608,61.521704121,1.0,61.126277317,61.917130925,658.000000000,661.000000000,3.000000000
77,2.346869079,61.268777797,1.0,60.095343257,62.442212336,618.000000000,656.000000000,38.000000000
78,0.257477428,62.240707234,1.0,62.111968520,62.369445948,672.000000000,674.000000000,2.000000000
