# source_cycle=C:\Projects\SiCTransistorModelDriveCycles\sim\research_exports\wltc\wltc_class3_official.csv
# model=wolfspeed_structured_relative_damage
# calibrated=False
# calibration_source=Wolfspeed 2025 SiC Power Module Reliability whitepaper (methodology only; no CAB525F12XM3 lifetime coefficients published)
# total_relative_damage=1.600414709719e-05
# equivalent_full_cycles=207.000000000
# cycles_inside_manufacturer_pc_temperature_envelope=0.000000000
# cycles_outside_manufacturer_pc_temperature_envelope=207.000000000
cycle_index,delta_tj_c,mean_tj_c,maximum_tj_c,duration_s,count,temperature_swing_factor,maximum_temperature_factor,duration_factor,relative_severity,damage_contribution,within_manufacturer_pc_temperature_envelope,duration_regime
1,2.296857687,61.637547691,62.785976535,4.000000000,1.0,2.693792376175e-08,2.285878537533e-02,9.352484478226e-01,5.758962698475e-10,5.758962698475e-10,False,PCsec-like
2,0.396799135,61.195899326,61.394298893,2.000000000,1.0,4.145216967386e-12,2.067129021988e-02,7.596577929324e-01,6.509278435632e-14,6.509278435632e-14,False,PCsec-like
3,1.159392876,60.866360840,61.446057278,2.000000000,1.0,8.827684834991e-10,2.074907862567e-02,7.596577929324e-01,1.391437274986e-11,1.391437274986e-11,False,PCsec-like
4,0.072014368,60.132896283,60.168903467,1.000000000,1.0,8.161865963585e-16,1.890600187515e-02,6.170338627200e-01,9.521341752911e-18,9.521341752911e-18,False,PCsec-like
5,0.348433496,60.214450118,60.388666866,2.000000000,1.0,2.164178987769e-12,1.921203297181e-02,7.596577929324e-01,3.158526295251e-14,3.158526295251e-14,False,PCsec-like
6,0.158646013,60.377746070,60.457069076,2.000000000,1.0,4.234864210029e-14,1.930821013691e-02,7.596577929324e-01,6.211543106500e-16,6.211543106500e-16,False,PCsec-like
7,0.301581188,60.429877485,60.580668079,6.000000000,1.0,1.051271573763e-12,1.948311845768e-02,1.056219968439e+00,2.163354872884e-14,2.163354872884e-14,False,transition
8,0.130609066,61.271734491,61.337039024,1.000000000,1.0,1.601623017102e-14,2.058554540512e-02,6.170338627200e-01,2.034378128452e-16,2.034378128452e-16,False,PCsec-like
9,0.071383764,60.104569021,60.140260903,1.000000000,1.0,7.810716957049e-16,1.886644705048e-02,6.170338627200e-01,9.092640488871e-18,9.092640488871e-18,False,PCsec-like
10,0.155955960,60.146754562,60.224732542,6.000000000,1.0,3.887796916086e-14,1.898331962268e-02,1.056219968439e+00,7.795251020419e-16,7.795251020419e-16,False,transition
11,1.864120709,60.982559918,61.914620273,10.000000000,1.0,9.485578870716e-09,2.146561070063e-02,1.231144413345e+00,2.506779225550e-10,2.506779225550e-10,False,transition
12,2.652086379,61.356700157,62.682743346,22.000000000,1.0,5.528814362990e-08,2.268950561666e-02,1.559681076589e+00,1.956558529996e-09,1.956558529996e-09,False,PCmin-like
13,2.864484142,61.432242071,62.864484142,18.000000000,0.5,8.126916442688e-08,2.298829525857e-02,1.468556805589e+00,2.743615901604e-09,1.371807950802e-09,False,PCmin-like
14,0.978414893,61.117735014,61.606942460,2.000000000,1.0,3.778408914501e-10,2.099259361936e-02,7.596577929324e-01,6.025499479462e-12,6.025499479462e-12,False,PCsec-like
