time_s,dc_power_requested_w,dc_power_served_w,unserved_power_w,phase_current_rms_a,phase_current_peak_a,device_current_rms_a,device_current_peak_a,rds_on_device_ohm,aggregate_conduction_loss_w,aggregate_switching_loss_w,aggregate_total_loss_w,device_loss_w,fluid_temperature_c,junction_temperature_c,thermal_iterations,converged
0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003054952,0.000000,0.000000,0.000000,0.000000,60.000000,60.000000,1,True
1.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003054952,0.000000,0.000000,0.000000,0.000000,60.000000,60.000000,1,True
2.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003054952,0.000000,0.000000,0.000000,0.000000,60.000000,60.000000,1,True
3.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003054952,0.000000,0.000000,0.000000,0.000000,60.000000,60.000000,1,True
4.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003054952,0.000000,0.000000,0.000000,0.000000,60.000000,60.000000,1,True
5.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003054952,0.000000,0.000000,0.000000,0.000000,60.000000,60.000000,1,True
6.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003054952,0.000000,0.000000,0.000000,0.000000,60.000000,60.000000,1,True
7.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003054952,0.000000,0.000000,0.000000,0.000000,60.000000,60.000000,1,True
8.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003054952,0.000000,0.000000,0.000000,0.000000,60.000000,60.000000,1,True
9.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003054952,0.000000,0.000000,0.000000,0.000000,60.000000,60.000000,1,True
10.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003054952,0.000000,0.000000,0.000000,0.000000,60.000000,60.000000,1,True
11.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.003054952,0.000000,0.000000,0.000000,0.000000,60.000000,60.000000,1,True
12.000000,37.584727,37.584727,0.000000,0.098690,0.139569,0.098690,0.139569,0.003054952,0.000089,0.222531,0.222620,0.037103,60.000000,60.005194,1,True
13.000000,784.222483,784.222483,0.000000,2.059222,2.912179,2.059222,2.912179,0.003056323,0.038880,4.643086,4.681966,0.780328,60.000000,60.109406,5,True
