# source_cycle=C:\Projects\SiCTransistorModelDriveCycles\sim\research_exports\wltc\wltc_class3_official.csv
# vehicle_config=tesla_model3_premium_long_range_rwd_de_wltp
# distance_km=23.262388889
# traction_energy_kwh=3.595816634
# recovered_energy_kwh=0.890225399
# base_auxiliary_energy_kwh=0.150000000
# hvac_energy_kwh=0.000000000
# total_auxiliary_energy_kwh=0.150000000
# net_battery_energy_kwh=2.855591235
time_s,v_mps,accel_mps2,grade_deg,force_inertial_n,force_rolling_n,force_aero_n,force_grade_n,force_total_n,wheel_power_w,dc_power_w,auxiliary_power_w,battery_power_w,friction_brake_power_w
0.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
1.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
2.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
3.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
4.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
5.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
6.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
7.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
8.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
9.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
10.000000,0.000000,0.000000,0.000000,0.000000,178.677163,0.000000,0.000000,178.677163,0.000000,0.000000,300.000000,300.000000,0.000000
11.000000,0.000000,0.027778,0.000000,50.611112,178.677163,0.000000,0.000000,229.288275,0.000000,0.000000,300.000000,300.000000,0.000000
12.000000,0.055556,0.236111,0.000000,430.194444,178.677163,0.000965,0.000000,608.872572,33.826254,36.767668,300.000000,336.767668,0.000000
13.000000,0.472222,0.722222,0.000000,1315.888888,178.677163,0.069740,0.000000,1494.635791,705.800234,767.174168,300.000000,1067.174168,0.000000
14.000000,1.500000,1.138889,0.000000,2075.055556,178.677163,0.703671,0.000000,2254.436389,3381.654584,3675.711504,300.000000,3975.711504,0.000000
15.000000,2.750000,1.069444,0.000000,1948.527778,178.677163,2.365115,0.000000,2129.570056,5856.317654,6365.562667,300.000000,6665.562667,0.000000
16.000000,3.638889,0.972222,0.000000,1771.388888,178.677163,4.141184,0.000000,1954.207235,7111.142995,7729.503255,300.000000,8029.503255,0.000000
17.000000,4.694444,1.194444,0.000000,2176.277778,178.677163,6.892159,0.000000,2361.847100,11087.559997,12051.695649,300.000000,12351.695649,0.000000
18.000000,6.027778,1.263889,0.000000,2302.805556,178.677163,11.363219,0.000000,2492.845938,15026.321346,16332.957985,300.000000,16632.957985,0.000000
19.000000,7.222222,0.805556,0.000000,1467.722222,178.677163,16.312803,0.000000,1662.712188,12008.476916,13052.692300,300.000000,13352.692300,0.000000
20.000000,7.638889,0.291667,0.000000,531.416667,178.677163,18.249345,0.000000,728.343176,5563.732592,6047.535426,300.000000,6347.535426,0.000000
21.000000,7.805556,0.111111,0.000000,202.444444,178.677163,19.054368,0.000000,400.175975,3123.595805,3395.212831,300.000000,3695.212831,0.000000
22.000000,7.861111,0.097222,0.000000,177.138888,178.677163,19.326570,0.000000,375.142621,2949.037826,3205.475898,300.000000,3505.475898,0.000000
23.000000,8.000000,0.111111,0.000000,202.444444,178.677163,20.015520,0.000000,401.137127,3209.097018,3488.148933,300.000000,3788.148933,0.000000
24.000000,8.083333,0.277778,0.000000,506.111112,178.677163,20.434682,0.000000,705.222956,5700.552230,6196.252424,300.000000,6496.252424,0.000000
25.000000,8.555556,0.388889,0.000000,708.555556,178.677163,22.891979,0.000000,910.124698,7786.622413,8463.720014,300.000000,8763.720014,0.000000
26.000000,8.861111,0.458333,0.000000,835.083333,178.677163,24.556319,0.000000,1038.316815,9200.640665,10000.696374,300.000000,10300.696374,0.000000
27.000000,9.472222,0.652778,0.000000,1189.361112,178.677163,28.060193,0.000000,1396.098468,13224.154932,14374.081448,300.000000,14674.081448,0.000000
28.000000,10.166667,0.694444,0.000000,1265.277778,178.677163,32.325412,0.000000,1476.280353,15008.850258,16313.967671,300.000000,16613.967671,0.000000
29.000000,10.861111,0.652778,0.000000,1189.361111,178.677163,36.892273,0.000000,1404.930547,15259.106773,16585.985623,300.000000,16885.985623,0.000000
30.000000,11.472222,0.472222,0.000000,860.388889,178.677163,41.160629,0.000000,1080.226682,12392.600542,13470.217980,300.000000,13770.217980,0.000000
31.000000,11.805556,0.277778,0.000000,506.111112,178.677163,43.587279,0.000000,728.375554,8598.878067,9346.606595,300.000000,9646.606595,0.000000
32.000000,12.027778,0.194444,0.000000,354.277777,178.677163,45.243656,0.000000,578.198596,6954.444228,7559.178508,300.000000,7859.178508,0.000000
33.000000,12.194444,0.152778,0.000000,278.361111,178.677163,46.506209,0.000000,503.544483,6140.445223,6674.396981,300.000000,6974.396981,0.000000
34.000000,12.333333,0.083333,0.000000,151.833334,178.677163,47.571609,0.000000,378.082106,4663.012638,5068.491998,300.000000,5368.491998,0.000000
35.000000,12.361111,-0.027778,0.000000,-50.611111,178.677163,47.786137,0.000000,175.852189,2173.728452,2362.748318,300.000000,2662.748318,0.000000
36.000000,12.277778,-0.250000,0.000000,-455.500000,178.677163,47.144001,0.000000,-229.678836,-2819.945704,-2255.956563,300.000000,-1955.956563,0.000000
37.000000,11.861111,-0.597222,0.000000,-1088.138889,178.677163,43.998478,0.000000,-865.463249,-10265.355754,-8212.284603,300.000000,-7912.284603,0.000000
38.000000,11.083333,-0.791667,0.000000,-1442.416666,178.677163,38.417376,0.000000,-1225.322128,-13580.653583,-10864.522866,300.000000,-10564.522866,0.000000
39.000000,10.277778,-0.736111,0.000000,-1341.194444,178.677163,33.035840,0.000000,-1129.481442,-11608.559261,-9286.847408,300.000000,-8986.847408,0.000000
40.000000,9.611111,-0.652778,0.000000,-1189.361112,178.677163,28.889106,0.000000,-981.794843,-9436.139321,-7548.911457,300.000000,-7248.911457,0.000000
41.000000,8.972222,-0.777778,0.000000,-1417.111111,178.677163,25.176013,0.000000,-1213.257935,-10885.619806,-8708.495845,300.000000,-8408.495845,0.000000
42.000000,8.055556,-1.000000,0.000000,-1822.000000,178.677163,20.294479,0.000000,-1623.028358,-13074.395110,-10459.516088,300.000000,-10159.516088,0.000000
43.000000,6.972222,-0.944444,0.000000,-1720.777778,178.677163,15.203002,0.000000,-1526.897613,-10645.869469,-8516.695575,300.000000,-8216.695575,0.000000
44.000000,6.166667,-0.583333,0.000000,-1062.833333,178.677163,11.892902,0.000000,-872.263267,-5378.956816,-4303.165453,300.000000,-4003.165453,0.000000
45.000000,5.805556,-0.250000,0.000000,-455.500000,178.677163,10.540822,0.000000,-266.282015,-1545.915032,-1236.732026,300.000000,-936.732026,0.000000
46.000000,5.666667,-0.194444,0.000000,-354.277778,178.677163,10.042509,0.000000,-165.558106,-938.162599,-750.530079,300.000000,-450.530079,0.000000
47.000000,5.416667,-0.277778,0.000000,-506.111112,178.677163,9.175952,0.000000,-318.257997,-1723.897482,-1379.117986,300.000000,-1079.117986,0.000000
48.000000,5.111111,-0.236111,0.000000,-430.194445,178.677163,8.169915,0.000000,-243.347367,-1243.775431,-995.020345,300.000000,-695.020345,0.000000
49.000000,4.944444,-0.083333,0.000000,-151.833334,178.677163,7.645782,0.000000,34.489611,170.531967,185.360834,300.000000,485.360834,0.000000
50.000000,4.944444,-0.055556,0.000000,-101.222222,178.677163,7.645782,0.000000,85.100723,420.775796,457.364996,300.000000,757.364996,0.000000
51.000000,4.833333,-0.291667,0.000000,-531.416666,178.677163,7.306012,0.000000,-345.433491,-1669.595207,-1335.676165,300.000000,-1035.676165,0.000000
52.000000,4.361111,-0.597222,0.000000,-1088.138888,178.677163,5.948140,0.000000,-903.513585,-3940.323135,-3152.258508,300.000000,-2852.258508,0.000000
53.000000,3.638889,-0.500000,0.000000,-911.000000,178.677163,4.141184,0.000000,-728.181653,-2649.772127,-2119.817702,300.000000,-1819.817702,0.000000
54.000000,3.361111,-0.152778,0.000000,-278.361112,178.677163,3.533073,0.000000,-96.150875,-323.173775,-258.539020,300.000000,41.460980,0.000000
55.000000,3.333333,-0.013889,0.000000,-25.305556,178.677163,3.474917,0.000000,156.846524,522.821746,568.284507,300.000000,868.284507,0.000000
56.000000,3.333333,0.000000,0.000000,0.000000,178.677163,3.474917,0.000000,182.152080,607.173599,659.971303,300.000000,959.971303,0.000000
57.000000,3.333333,0.041667,0.000000,75.916667,178.677163,3.474917,0.000000,258.068747,860.229156,935.031692,300.000000,1235.031692,0.000000
58.000000,3.416667,0.083333,0.000000,151.833334,178.677163,3.650834,0.000000,334.161331,1141.717881,1240.997697,300.000000,1540.997697,0.000000
59.000000,3.500000,0.333333,0.000000,607.333333,178.677163,3.831096,0.000000,789.841591,2764.445570,3004.832141,300.000000,3304.832141,0.000000
60.000000,4.083333,0.375000,0.000000,683.250000,178.677163,5.214547,0.000000,867.141710,3540.828648,3848.726791,300.000000,4148.726791,0.000000
61.000000,4.250000,0.166667,0.000000,303.666667,178.677163,5.648911,0.000000,487.992742,2073.969152,2254.314296,300.000000,2554.314296,0.000000
62.000000,4.416667,0.125000,0.000000,227.750000,178.677163,6.100651,0.000000,412.527814,1821.997843,1980.432439,300.000000,2280.432439,0.000000
63.000000,4.500000,0.166667,0.000000,303.666666,178.677163,6.333036,0.000000,488.676865,2199.045892,2390.267274,300.000000,2690.267274,0.000000
64.000000,4.750000,0.222222,0.000000,404.888888,178.677163,7.056253,0.000000,590.622304,2805.455945,3049.408636,300.000000,3349.408636,0.000000
65.000000,4.944444,0.138889,0.000000,253.055556,178.677163,7.645782,0.000000,439.378501,2172.482586,2361.394116,300.000000,2661.394116,0.000000
